variant_id,seed,variant,strategy,existing_similarity,existing_perplexity,predicted_equivalence,predicted_naturalness,source,notes
1,what's the capital of australia,what's the capital of babylon,mlm_substitution,0.0592,145.65,2,5,scoring_ranges_documented,named entity swap — same structure different referent
2,can i get a refund,can i get a clue,mlm_substitution,0.1839,191.51,2,5,scoring_ranges_documented,content noun swap — different request entirely
3,avoid the highway,avoid the ambiguity,mlm_substitution,0.1846,408.69,1,3,scoring_ranges_documented,abstract noun replacing physical referent
4,who directed the godfather,who directed the episodes,mlm_substitution,0.2311,444.78,2,4,scoring_ranges_documented,named entity → generic noun
5,what is the best movie of all time,what is the best drummer of all time,mlm_substitution,0.2425,31.75,2,3,scoring_ranges_documented,content noun swap — different question entirely
6,play something uh relaxing,can you select a laid back track,llm_paraphrase,0.1026,513.51,5,5,scoring_ranges_documented,deep synonymy — embedding undershoots
7,turn it up,can you increase the volume,llm_paraphrase,0.2223,180.92,5,5,scoring_ranges_documented,deep synonymy — embedding undershoots
8,play something uh relaxing,i'd love to hear something easygoing,llm_paraphrase,0.2266,344.68,5,5,scoring_ranges_documented,deep synonymy — embedding undershoots
9,turn it up,boost the volume would you,llm_paraphrase,0.2350,1208.20,5,4,scoring_ranges_documented,deep synonymy — embedding undershoots
10,skip this song,can we hear something else instead,llm_paraphrase,0.2405,284.00,5,5,scoring_ranges_documented,deep synonymy — same intent functionally
11,call call mom,call mom,constrained:abbreviated_spoken,0.9397,61611.01,5,5,scoring_ranges_documented,perplexity pathology — variant is fluent and equivalent
12,call call mom,phone call mom,mlm_substitution,0.9566,16114.14,3,2,scoring_ranges_documented,perplexity high but variant is also genuinely awkward
13,call call mom,always call mom,llm_paraphrase,0.8668,17907.63,3,4,scoring_ranges_documented,modal addition shifts intent — judge separates equivalence from naturalness
14,play something uh relaxing,play your uh relaxing,mlm_substitution,0.9281,87759.53,2,1,scoring_ranges_documented,broken syntax — possessive doesn't compose
15,set a timer for twenty minutes,set a timer for twenty minutes,llm_paraphrase,1,,5,5,constructed_edge,verbatim seed reproduction (sanity check on edge of equivalence scale)
16,track my run,bake a cake,llm_paraphrase,,,1,5,constructed_edge,unrelated content (sanity check on bottom of equivalence scale)
17,turn off the lights,please turn off the lights,constrained:polite_imperative,0.8627,38.73,5,5,aggregate_sampled,canonical politeness add — also present in aggregate (sim=0.8627 ppl=38.73)
