id,seed,domain,syntactic_type,register,lexical_complexity,utterance_length,notes,speech_phenomena
1,turn off the lights,smart_home,imperative,neutral,phrasal_verb,short,,
2,please turn off the lights,smart_home,imperative,formal,phrasal_verb,short,,
3,lights off,smart_home,fragment,colloquial,simple,short,,
4,can you dim the lights a little,smart_home,polar_question,neutral,simple,medium,,
5,i'd like the thermostat set to 68 degrees,smart_home,indirect_request,formal,named_entity; low_freq_vocab,medium,,
6,make it warmer in here,smart_home,imperative,colloquial,simple; pragmatic_indirect,short,pragmatic — implies thermostat adjustment,
7,could you lock the front door before i leave,smart_home,polar_question,neutral,temporal_reference; named_entity,medium,,
8,turn off the lights and lock the door,smart_home,imperative,neutral,phrasal_verb; multi_intent,medium,multi-intent,
9,don't let the house get too cold tonight,smart_home,imperative,colloquial,negation; temporal_reference,medium,negation,
10,i was hoping you could turn the porch light on when it gets dark,smart_home,embedded_declarative,formal,phrasal_verb; temporal_reference; syntactic_embedding,long,,
11,what's the temperature set to right now,smart_home,wh_question,neutral,simple,short,,
12,um remind me to call the doctor tomorrow morning,calendar,imperative,neutral,temporal_reference,medium,,filled_pause
13,set an alarm for 7am actually make it 6 30,calendar,imperative,neutral,temporal_reference; simple,medium,self-correction on temporal reference,self_correction
14,add a meeting with sarah to my calendar for friday,calendar,imperative,neutral,named_entity; temporal_reference,medium,,
15,i need to reschedule my dentist appointment,calendar,indirect_request,neutral,morphological_complexity,medium,,
16,set a timer for twenty minutes,calendar,imperative,neutral,temporal_reference; simple,short,,
17,when is my next meeting,calendar,wh_question,neutral,simple,short,,
18,cancel my 3pm,calendar,imperative,colloquial,temporal_reference,short,,
19,don't let me forget about the team standup tomorrow,calendar,imperative,colloquial,negation; temporal_reference,medium,negation,
20,move my tuesday appointment to wednesday afternoon,calendar,imperative,neutral,temporal_reference,medium,,
21,i've been meaning to block off next friday for focused work,calendar,embedded_declarative,formal,temporal_reference; syntactic_embedding,medium,,
22,remind me to take my medication every morning at 8,calendar,imperative,neutral,temporal_reference; low_freq_vocab,medium,,
23,call call mom,communication,imperative,colloquial,named_entity; simple,short,repetition on verb,repetition
24,send a text to john saying i'll be late,communication,imperative,neutral,named_entity; syntactic_embedding,medium,,
25,i need to email my boss about the report,communication,indirect_request,neutral,named_entity; simple,medium,,
26,can you read my last message from sarah,communication,polar_question,neutral,named_entity; simple,short,,
27,reply and tell her i'm on my way,communication,imperative,colloquial,referential_complexity; simple,short,referential — 'her' requires context,
28,i'd like to leave a voicemail for dr. chen,communication,indirect_request,formal,named_entity; low_freq_vocab,medium,,
29,don't send that email yet,communication,imperative,neutral,negation,short,negation,
30,what did she say in her last message,communication,wh_question,colloquial,referential_complexity,short,referential — 'she' requires context,
31,forward the email from this morning to my team,communication,imperative,neutral,temporal_reference; named_entity,medium,,
32,send a message to everyone on the project and let them know the deadline moved,communication,imperative,neutral,syntactic_embedding; multi_intent,long,multi-intent,
